track_name,track_id,artist_name,album_name,release_date,artist_genre,popularity,Duration (ms),Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Die For You,26hOm7dTtBi0TdpDGl141t,Joji,SMITHEREENS,2022-11-04,['viral pop'],81,211666,0.383,0.472,0.518,0.127,8,0.289,-7.379,1,0.051,147.805,4,0.154
GHOST TOWN,135Lf4Q0CzlMNfOxbEUsLH,Benson Boone,GHOST TOWN,2021-10-15,['singer-songwriter pop'],81,193733,0.389,0.391,0.335,0.0,0,0.102,-10.064,1,0.0763,174.185,3,0.116
that way,7l97ElWmIdVHWUaOeeU5ZC,Tate McRae,all the things i never said,2020-01-24,"['alt z', 'pop']",81,175026,0.728,0.453,0.383,0.0,0,0.387,-11.015,1,0.163,105.029,4,0.333
Evergreen (You Didn’t Deserve Me At All),2TktkzfozZifbQhXjT6I33,Omar Apollo,Ivory,2022-04-08,"['bedroom pop', 'bedroom soul']",80,216680,0.598,0.697,0.336,0.00528,9,0.107,-10.395,1,0.0424,82.029,3,0.31
Still Don't Know My Name,6N22FZs2ZhPBYi3b9XPajV,Labrinth,Euphoria (Original Score from the HBO Series),2019-10-04,"['indie poptimism', 'pop']",80,153294,0.471,0.316,0.63,0.262,5,0.205,-5.963,1,0.117,89.643,1,0.313
Mood Swings (feat. Lil Tjay),5rZlwNFl01HqLWBQGryKSm,"Pop Smoke, Lil Tjay",Shoot For The Stars Aim For The Moon,2020-07-03,"['brooklyn drill', 'rap']",80,213333,0.487,0.48,0.602,0.0,10,0.0848,-6.335,0,0.368,179.798,4,0.269
If You Love Her,727Z2S2mtNH46CbP9EWPwY,Forest Blakk,If You Love Her,2020-09-30,['singer-songwriter pop'],80,217351,0.355,0.286,0.445,0.0,6,0.114,-8.087,1,0.0347,50.827,4,0.278
If the World Was Ending (feat. Julia Michaels),2kJwzbxV2ppxnQoYw4GLBZ,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),2019-10-17,"['alt z', 'canadian contemporary r&b', 'singer-songwriter pop']",79,208687,0.866,0.464,0.473,0.0,1,0.109,-10.086,1,0.129,75.801,4,0.604
Remember That Night?,1nYzjrdVQ8RpF93M0jPFW7,Sara Kays,Remember That Night?,2020-11-06,"['alt z', 'gen z singer-songwriter', 'modern indie pop']",79,227186,0.585,0.679,0.61,9.51e-05,7,0.156,-10.936,0,0.0305,123.978,4,0.554
How Do I Say Goodbye,5hnGrTBaEsdukpDF6aZg8a,Dean Lewis,How Do I Say Goodbye,2022-08-31,"['australian pop', 'pop']",79,163603,0.214,0.4,0.641,0.0,8,0.0656,-6.303,1,0.0674,81.552,4,0.393
Cool About It,5PJH1U5Iie893v48Fl9yaC,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus",the record,2023-03-31,['indie pop'],79,180000,0.902,0.565,0.203,0.0,2,0.115,-13.656,1,0.0332,93.213,4,0.408
Little Freak,3i058E8uxTsYqJ5NWZzqSj,Harry Styles,Harry's House,2022-05-20,['pop'],79,202183,0.719,0.559,0.535,0.000143,3,0.0954,-7.723,1,0.039,141.96,4,0.402
Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,"Doja Cat, SZA",Kiss Me More (feat. SZA),2021-04-09,"['dance pop', 'pop']",79,208866,0.235,0.762,0.701,0.000158,8,0.123,-3.541,1,0.0286,110.968,4,0.742
Happiest Year,219slQu3ALbTSAe9P22hvE,Jaymes Young,Feel Something (Deluxe),2022-01-28,[],78,228442,0.885,0.502,0.168,0.0,1,0.111,-14.061,1,0.0486,112.881,3,0.355
Nothing,1lORkxEMmsCZqhoxcmk3A3,Bruno Major,To Let A Good Thing Die,2020-06-05,['singer-songwriter pop'],78,162797,0.931,0.555,0.27,0.544,2,0.103,-15.892,1,0.0888,139.681,3,0.271
IDK You Yet,0j1Ia2lQWrcXrQZI4AdJlk,Alexander 23,IDK You Yet (Live on Piano),2020-06-23,"['alt z', 'singer-songwriter pop']",78,184638,0.886,0.648,0.308,0.0774,1,0.124,-11.729,1,0.04,76.997,1,0.198
July (feat. Leon Bridges),3V0nnQhqvbE3JmiDdnzQFQ,"Noah Cyrus, Leon Bridges",July (feat. Leon Bridges),2019-11-08,"['alt z', 'pop']",78,152280,0.853,0.708,0.211,0.0,9,0.131,-9.603,0,0.0424,72.5,4,0.362
Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,Cheating on You,2019-10-01,"['pop', 'viral pop']",78,196606,0.0131,0.749,0.535,3.65e-05,4,0.0982,-6.785,1,0.0336,123.042,4,0.601
"Take Me Home, Country Roads",7qF0FfuzBFwMe1lNHkEDxW,Lana Del Rey,"Take Me Home, Country Roads",2023-12-01,"['art pop', 'pop']",78,166676,0.921,0.516,0.167,1.61e-05,9,0.112,-13.205,1,0.0265,82.044,4,0.304
I Drink Wine,6v0UJD4a2FtleHeSYVX02A,Adele,30,2021-11-19,"['british soul', 'pop', 'pop soul', 'uk pop']",78,376169,0.697,0.437,0.565,0.0,10,0.119,-5.596,1,0.0466,115.389,4,0.306
Smokin Out The Window,3xVZYkcuWalGudeKl861wb,"Bruno Mars, Anderson .Paak, Silk Sonic",An Evening With Silk Sonic,2021-11-11,"['dance pop', 'pop']",78,197442,0.0558,0.627,0.618,0.0,2,0.351,-8.529,1,0.0437,82.03,4,0.848
"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,"Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",2019-10-04,"['contemporary country', 'country', 'country road']",77,167693,0.153,0.654,0.63,0.0,10,0.111,-4.644,1,0.0259,89.991,4,0.43
It'll Be Okay,2KnLkZ3z7PO3kgVGHGqDpD,Shawn Mendes,It'll Be Okay,2021-12-01,"['canadian pop', 'pop', 'viral pop']",77,222800,0.616,0.398,0.286,0.000146,7,0.0912,-11.881,1,0.033,78.262,4,0.0666
For My Hand (feat. Ed Sheeran),0HaRLPnr887lcQM2YQzkff,"Burna Boy, Ed Sheeran","Love, Damini",2022-07-07,"['afrobeats', 'azontobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']",77,159123,0.161,0.87,0.479,0.000157,9,0.209,-7.779,1,0.165,104.059,4,0.717
Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,"Marshmello, Halsey",Be Kind (with Halsey),2020-05-01,"['brostep', 'edm', 'pop', 'progressive electro house']",76,172761,0.00776,0.63,0.633,0.0,4,0.0541,-7.088,1,0.0457,93.995,4,0.452
Your Power,042Sl6Mn83JHyLEqdK7uI0,Billie Eilish,Happier Than Ever,2021-07-30,"['art pop', 'pop']",76,245896,0.932,0.632,0.284,0.000476,9,0.233,-14.025,0,0.0801,129.642,4,0.208
Can We Kiss Forever?,58wyJLv6yH1La9NIZPl3ne,"Kina, Adriana Proenza",Can We Kiss Forever?,2018-08-31,['sad lo-fi'],76,187931,0.894,0.522,0.128,0.026,4,0.0941,-18.717,1,0.0357,109.986,4,0.124
Trust Me Mate,2wWX4sZGZNc7lA594ZOhP7,Dean Lewis,Trust Me Mate,2023-09-28,"['australian pop', 'pop']",76,178408,0.599,0.529,0.591,0.0,0,0.109,-4.223,1,0.034,97.742,4,0.27
Before You,523f4oSjrZx83XDtRLnsIw,Benson Boone,Before You,2022-10-28,['singer-songwriter pop'],76,187940,0.15,0.269,0.373,0.0,8,0.129,-7.113,0,0.0371,202.899,3,0.321
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,35ovElsgyAtQwYPYnZJECg,Rihanna,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),2022-10-28,"['barbadian pop', 'pop', 'urban contemporary']",76,196519,0.899,0.247,0.299,0.0,9,0.131,-6.083,1,0.0315,177.115,4,0.172
Always Been You,53UMRr4KOgZP5Ins0aGlhs,Jessie Murph,drowning,2023-02-10,"['modern country pop', 'singer-songwriter pop']",76,131824,0.646,0.655,0.572,1.81e-06,3,0.0774,-7.666,0,0.0535,137.12,4,0.403
Poison Poison,7e1arKsP7vPjdwssVPHgZk,Reneé Rapp,Snow Angel,2023-08-18,"['alt z', 'singer-songwriter pop']",76,191451,0.202,0.825,0.498,3.58e-06,7,0.102,-6.939,1,0.043,111.022,4,0.681
Thousand Miles,1r8ZCjfrQxoy2wVaBUbpwg,The Kid LAROI,Thousand Miles,2022-04-22,['australian hip hop'],76,164781,0.0858,0.376,0.657,0.0,7,0.0884,-4.658,1,0.0768,80.565,4,0.203
Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,Ritt Momney,Put Your Records On,2020-04-24,['bedroom pop'],76,210463,0.0563,0.399,0.491,0.00089,6,0.11,-10.778,0,0.0538,91.066,4,0.151
